Device ID,System Type,Timestamp,Temperature (°C),Current (A),Pressure (hPa),Alert,Status
device_9,pipe,2025-09-27T06:27:17.484Z,30,4.2,2.15,true,On
1.99,false,On
device_28,container,2025-09-27T06:27:17.521Z,31.77,5.88,1.98,false,On
device_30,container,2025-09-27T06:27:17.517Z,31.58,5.98,2,false,On
device_27,container,2025-09-27T06:27:17.540Z,29.34,5.94,1.86,false,On
device_32,battery_bank,2025-09-27T06:27:17.559Z,31.72,5.53,1.94,false,On
device_38,battery_bank,2025-09-27T06:27:17.582Z,28.08,5.93,1.83,false,On
device_21,container,2025-09-27T06:27:17.593Z,31.83,4.02,2.04,false,On
device_6,pipe,2025-09-27T06:27:17.611Z,30.34,4.46,1.92,true,On
device_31,battery_bank,2025-09-27T06:27:17.645Z,31.14,4.33,1.93,false,On
device_47,battery_bank,2025-09-27T06:27:17.641Z,31.26,5.76,1.9,false,On
device_10,pipe,2025-09-27T06:27:17.657Z,29.26,4.02,2.14,true,On
device_49,battery_bank,2025-09-27T06:27:17.718Z,29.06,5.25,1.81,false,On
device_4,pipe,2025-09-27T06:27:17.750Z,29.7,5.55,2.19,true,On
device_42,battery_bank,2025-09-27T06:27:17.758Z,30.32,4.86,2.18,false,On
device_45,battery_bank,2025-09-27T06:27:17.796Z,30.26,5.38,1.97,false,On
device_24,container,2025-09-27T06:27:17.798Z,28.98,4.85,1.94,false,On
device_44,battery_bank,2025-09-27T06:27:17.813Z,31.77,5.7,1.94,false,On
device_41,battery_bank,2025-09-27T06:27:17.856Z,28.44,5.04,2.07,false,On
device_40,battery_bank,2025-09-27T06:27:17.886Z,29.05,4.89,2.07,false,On
device_3,pipe,2025-09-27T06:27:17.933Z,28.89,5.56,2.01,true,On
device_19,container,2025-09-27T06:27:17.980Z,29.79,4.33,1.93,false,On
device_15,container,2025-09-27T06:27:18.026Z,29.82,5.06,2.02,false,On
device_43,battery_bank,2025-09-27T06:27:18.072Z,30.47,4,1.96,false,On
device_28,container,2025-09-27T06:27:18.088Z,29.67,4.73,2.09,false,On
device_5,pipe,2025-09-27T06:27:17.983Z,30.17,5.97,1.9,true,On
device_46,battery_bank,2025-09-27T06:27:18.029Z,29.39,4.79,1.83,false,On
device_30,container,2025-09-27T06:27:18.103Z,29.83,5.44,2.1,false,On
