Device ID,Timestamp,Temperature (°C),Current (A),Pressure (hPa)
sensor_20,2025-09-26T09:14:02.675Z,31.21,4.77,2.04
sensor_10,2025-09-26T09:14:02.707Z,31.08,5.56,1.9
sensor_50,2025-09-26T09:14:02.753Z,31.03,5.34,2.02
sensor_17,2025-09-26T09:14:02.847Z,28.69,5.53,2.04
sensor_24,2025-09-26T09:14:02.850Z,29.27,5.26,1.98
sensor_26,2025-09-26T09:14:02.852Z,29.33,5.94,1.9
sensor_1,2025-09-26T09:14:02.856Z,29.95,4.41,2.13
sensor_11,2025-09-26T09:14:02.895Z,31.18,5.9,2.02
sensor_32,2025-09-26T09:14:02.898Z,31.12,5.22,1.97
sensor_6,2025-09-26T09:14:02.905Z,30.77,5.94,1.94
sensor_21,2025-09-26T09:14:02.925Z,29.73,4.3,2.02
sensor_35,2025-09-26T09:14:02.926Z,28.89,5.31,2.08
sensor_28,2025-09-26T09:14:02.955Z,30.58,4.56,1.91
sensor_18,2025-09-26T09:14:03.002Z,31.58,4.66,1.93
sensor_44,2025-09-26T09:14:03.017Z,28.2,5.74,2.11
sensor_23,2025-09-26T09:14:03.062Z,29.19,5.71,2.18
sensor_27,2025-09-26T09:14:03.093Z,31.71,4.58,1.91
sensor_2,2025-09-26T09:14:03.108Z,31.87,4.97,1.92
sensor_41,2025-09-26T09:14:03.186Z,30.15,4.72,1.9
sensor_7,2025-09-26T09:14:03.231Z,31.36,4.9,1.97
sensor_33,2025-09-26T09:14:03.233Z,29.28,5.86,1.97
sensor_22,2025-09-26T09:14:03.234Z,31.51,5.57,2.19
sensor_19,2025-09-26T09:14:03.262Z,30.79,5.09,2.07
sensor_14,2025-09-26T09:14:03.293Z,30.1,4.29,1.89
sensor_39,2025-09-26T09:14:03.309Z,30.72,4.32,1.94
sensor_48,2025-09-26T09:14:03.313Z,30.23,4.4,1.94
sensor_46,2025-09-26T09:14:03.324Z,30.49,5.29,2.02
sensor_47,2025-09-26T09:14:03.388Z,31.78,5.68,2.01
sensor_42,2025-09-26T09:14:03.451Z,29.93,4.35,1.89
sensor_37,2025-09-26T09:14:03.514Z,30.12,5.66,2.03
sensor_13,2025-09-26T09:14:03.561Z,29.22,4.82,2.09
sensor_49,2025-09-26T09:14:03.577Z,29.19,5.27,1.89
sensor_31,2025-09-26T09:14:03.578Z,28.95,4.49,1.98
sensor_44,2025-09-26T09:14:03.592Z,31.28,4.69,1.82
sensor_15,2025-09-26T09:14:03.595Z,29.72,5.54,2.13
sensor_50,2025-09-26T09:14:03.607Z,28.96,5.06,2.14
sensor_3,2025-09-26T09:14:03.686Z,29.15,5.6,2.03
sensor_45,2025-09-26T09:14:03.733Z,28.18,5.59,1.9
sensor_43,2025-09-26T09:14:03.748Z,31.28,5.62,1.96
sensor_25,2025-09-26T09:14:03.795Z,28.94,4.13,1.82
sensor_12,2025-09-26T09:14:03.800Z,29.49,4.42,1.86
sensor_7,2025-09-26T09:14:03.826Z,29.57,5.24,1.95
sensor_17,2025-09-26T09:14:03.830Z,30.02,5.97,1.93
sensor_20,2025-09-26T09:14:03.841Z,29.72,5.91,1.93
sensor_9,2025-09-26T09:14:03.856Z,29.24,5.95,1.87
sensor_30,2025-09-26T09:14:03.858Z,28.2,5.29,2.08
sensor_29,2025-09-26T09:14:03.918Z,30.76,4.45,2.03
sensor_8,2025-09-26T09:14:03.949Z,30.8,5.26,1.97
sensor_19,2025-09-26T09:14:03.954Z,28.16,5.54,1.9
sensor_32,2025-09-26T09:14:03.958Z,31.94,4.32,2.04
sensor_38,2025-09-26T09:14:03.959Z,29.11,4.15,1.96
sensor_35,2025-09-26T09:14:03.995Z,31.74,4.64,1.96
sensor_36,2025-09-26T09:14:03.996Z,31.94,4.21,1.96
sensor_5,2025-09-26T09:14:04.041Z,30.23,5.72,2.07
sensor_34,2025-09-26T09:14:04.102Z,28.22,4.67,1.85
sensor_40,2025-09-26T09:14:04.109Z,29.19,4.22,1.94
sensor_4,2025-09-26T09:14:04.147Z,29.7,5.86,2.09
sensor_16,2025-09-26T09:14:04.148Z,29.38,5.63,1.9
sensor_22,2025-09-26T09:14:04.152Z,30.57,4.96,2.12
sensor_23,2025-09-26T09:14:04.208Z,30.38,5.45,1.89
sensor_45,2025-09-26T09:14:04.254Z,30.65,4.35,2.05
sensor_6,2025-09-26T09:14:04.286Z,30.18,4.52,2.04
sensor_24,2025-09-26T09:14:04.301Z,29.89,4.77,2
